timestamp,unnamed: 0,open,high,low,close,volume,date,time,close_fut,oi,atm_strike,call_iv,put_iv,call_oi,put_oi
2015-01-01 09:15:00,2015-01-01 09:15:00,103.01394911676717,104.28993903949568,100.86627358353527,103.1534897499085,2638,2015-01-01,09:15:00,103.0708252944586,9882207,100.0,14.568003208533568,18.223280484037303,432645,354962
2015-01-01 09:20:00,2015-01-01 09:20:00,103.46281697558098,105.07969071325743,103.3367433040529,103.22444902913576,8918,2015-01-01,09:20:00,103.11538075268474,7132608,100.0,12.658275787541298,15.681422607175918,294109,462732
2015-01-01 09:25:00,2015-01-01 09:25:00,104.33265745979358,105.9526840336322,102.70530995162405,104.48332551772296,4935,2015-01-01,09:25:00,104.77868185527842,7274194,100.0,14.807983111844226,17.013284243657132,371808,415940
2015-01-01 09:30:00,2015-01-01 09:30:00,104.92848512047898,105.38290189316687,103.63101548463116,104.58013080128488,5712,2015-01-01,09:30:00,104.27226096278444,6941838,100.0,20.10498629808919,16.866986803991836,334195,188158
2015-01-01 09:35:00,2015-01-01 09:35:00,104.98670387675412,105.40504385667708,103.1209433671436,105.12066266314172,4465,2015-01-01,09:35:00,105.40341114942557,7184152,100.0,12.295615467403625,14.509855190729432,417886,261531
2015-01-01 09:40:00,2015-01-01 09:40:00,103.40380729762556,103.53703045591112,103.01611641125484,104.0476116047432,1223,2015-01-01,09:40:00,104.787364999115,6431138,100.0,14.416204308596498,14.76853462082629,413664,362466
2015-01-01 09:45:00,2015-01-01 09:45:00,103.44119021735422,103.54446279963778,101.96263847611228,102.7852508490418,1997,2015-01-01,09:45:00,102.65512214472407,7326157,100.0,14.322430498427773,16.488520296119862,228252,196497
2015-01-01 09:50:00,2015-01-01 09:50:00,103.69171143663308,104.19466663996654,103.44999295266076,104.4745687997343,6260,2015-01-01,09:50:00,104.71418187931826,5064640,100.0,15.790823366865927,19.17917759046729,319079,203238
2015-01-01 09:55:00,2015-01-01 09:55:00,102.87150864351716,103.13257983236576,100.88615988551123,103.11588040594133,9113,2015-01-01,09:55:00,103.6487056483611,8460071,100.0,18.410587751710583,17.758012875021358,110323,209276
2015-01-01 10:00:00,2015-01-01 10:00:00,103.24050446001591,105.66560131382064,102.8103971093864,103.13260109619009,7949,2015-01-01,10:00:00,103.715783554305,5911496,100.0,14.631798888330954,17.478236768565278,279382,484868
2015-01-01 10:05:00,2015-01-01 10:05:00,102.83121100099903,103.58210338535686,102.56172253719294,103.63982759298598,6296,2015-01-01,10:05:00,102.88373807561794,5167930,100.0,14.009275607632452,18.863439886815385,160698,238075
2015-01-01 10:10:00,2015-01-01 10:10:00,103.53471047666336,105.70816581340908,102.64895343563316,102.77142062955004,5014,2015-01-01,10:10:00,102.60931817414183,7029350,100.0,14.267397222708738,15.168384920491253,113988,438411
2015-01-01 10:15:00,2015-01-01 10:15:00,103.78108021507312,104.61984947243806,103.23267432382778,103.82456835943808,3170,2015-01-01,10:15:00,103.51229182445826,9129439,100.0,14.15479813843982,17.18588423285844,452429,461363
2015-01-01 10:20:00,2015-01-01 10:20:00,103.0927292356225,103.704561998084,101.34149129803473,103.55054866111244,3207,2015-01-01,10:20:00,102.9890381801707,5187520,100.0,17.330135278762373,14.086000119637315,449184,129450
2015-01-01 10:25:00,2015-01-01 10:25:00,103.99739162301417,104.27656749752646,103.59382475360908,104.43870784548989,5299,2015-01-01,10:25:00,103.6413001304204,7793729,100.0,18.103492019699814,16.986806051492014,440551,169438
2015-01-01 10:30:00,2015-01-01 10:30:00,103.77921978922596,104.12622946973396,103.7038779454304,104.07438343341866,5798,2015-01-01,10:30:00,103.58608292454538,7441338,100.0,13.839501017729631,18.63939222272919,448618,494694
2015-01-01 10:35:00,2015-01-01 10:35:00,103.45826010669624,103.48034415246036,103.0502037198437,104.13120057690296,2430,2015-01-01,10:35:00,103.54412270289404,9598152,100.0,14.545185988573149,15.380025749317555,317248,149387
2015-01-01 10:40:00,2015-01-01 10:40:00,102.9797755833474,104.48546925428175,102.7791710395378,102.92853120535428,6724,2015-01-01,10:40:00,102.82971141311008,7619573,100.0,16.614413438062126,16.02674557717643,131641,442682
2015-01-01 10:45:00,2015-01-01 10:45:00,103.30977364563785,104.08515307598842,103.24577081254964,103.92167397580796,9437,2015-01-01,10:45:00,103.0569069052306,5229450,100.0,12.329132693310356,11.177040384477596,490916,464482
2015-01-01 10:50:00,2015-01-01 10:50:00,103.35129636687284,104.46815728690063,103.22497000381831,102.98903312630236,2452,2015-01-01,10:50:00,103.41233657901807,9046596,100.0,14.352054698063,16.847719748207233,484543,462499
2015-01-01 10:55:00,2015-01-01 10:55:00,105.16464542204876,106.0790081710425,105.04712943730873,105.01837400620754,2062,2015-01-01,10:55:00,104.99641113124753,5048231,100.0,13.729030304991172,15.90131844538904,370590,393976
2015-01-01 11:00:00,2015-01-01 11:00:00,107.26215554846144,107.36996435058924,106.35903715855952,108.19164566137486,9343,2015-01-01,11:00:00,108.02132637335929,6260721,100.0,13.385175616718485,17.844622574189458,219147,482487
2015-01-01 11:05:00,2015-01-01 11:05:00,107.74803519856364,108.59692273652132,107.49371636836965,106.89634318743556,5702,2015-01-01,11:05:00,106.49963080708638,9457832,100.0,19.624290215594375,16.99107052299451,335557,421180
2015-01-01 11:10:00,2015-01-01 11:10:00,108.07778032144628,109.219559139904,107.68142744237736,107.77872399977431,9186,2015-01-01,11:10:00,108.0322082272932,6092423,100.0,16.404582884871864,15.144203794474436,268427,101012
2015-01-01 11:15:00,2015-01-01 11:15:00,108.82045940281358,110.97160983962478,108.49038203967572,109.29260080301148,1023,2015-01-01,11:15:00,108.26301441475316,5491194,100.0,13.744396970518377,14.766523072195064,151065,181997
2015-01-01 11:20:00,2015-01-01 11:20:00,108.41898082909688,109.26850907304063,107.84315087827603,109.03697413277222,1260,2015-01-01,11:20:00,109.74502186947748,5749921,100.0,14.8943743415775,15.929776106957153,389167,369657
2015-01-01 11:25:00,2015-01-01 11:25:00,107.86567868906788,108.76224518552452,107.75519291680804,108.40747689257852,9769,2015-01-01,11:25:00,108.03104871940596,8535401,100.0,14.208459620012746,17.267592761792482,167122,162976
2015-01-01 11:30:00,2015-01-01 11:30:00,107.9658700094088,109.0507279222128,107.09151006301452,107.5790000839056,8767,2015-01-01,11:30:00,107.49930993619265,5107882,100.0,9.31389765168536,13.75578664382892,275215,453192
2015-01-01 11:35:00,2015-01-01 11:35:00,107.2827222804159,107.70348271730283,105.60276500174804,107.7402587987514,3578,2015-01-01,11:35:00,107.60104505357266,9990769,100.0,14.236419562948988,15.86249729530556,134183,387583
2015-01-01 11:40:00,2015-01-01 11:40:00,107.61023974500527,108.02697920488409,105.36322728049876,107.60626452704788,4034,2015-01-01,11:40:00,107.49612080924736,6827300,100.0,12.696090024319547,16.87243061434294,335328,106919
2015-01-01 11:45:00,2015-01-01 11:45:00,107.0723615151232,107.60686799912304,105.57622043873344,106.90806686233525,1776,2015-01-01,11:45:00,107.68416819961428,5869108,100.0,14.939109732333735,16.726989840866416,449598,210541
