,open,high,low,close,volume,date,time
2015-01-01 09:15:00,103.01394911676717,104.28993903949569,100.86627358353529,103.1534897499085,2638,2015-01-01,09:15:00
2015-01-01 09:20:00,103.46281697558098,105.07969071325745,103.3367433040529,103.22444902913577,8918,2015-01-01,09:20:00
2015-01-01 09:25:00,104.33265745979358,105.9526840336322,102.70530995162405,104.48332551772295,4935,2015-01-01,09:25:00
2015-01-01 09:30:00,104.92848512047898,105.38290189316687,103.63101548463115,104.58013080128488,5712,2015-01-01,09:30:00
2015-01-01 09:35:00,104.98670387675412,105.40504385667707,103.12094336714361,105.12066266314173,4465,2015-01-01,09:35:00
2015-01-01 09:40:00,103.40380729762555,103.53703045591112,103.01611641125483,104.04761160474321,1223,2015-01-01,09:40:00
2015-01-01 09:45:00,103.44119021735422,103.54446279963778,101.96263847611229,102.78525084904179,1997,2015-01-01,09:45:00
2015-01-01 09:50:00,103.69171143663308,104.19466663996654,103.44999295266076,104.4745687997343,6260,2015-01-01,09:50:00
2015-01-01 09:55:00,102.87150864351717,103.13257983236575,100.88615988551125,103.11588040594131,9113,2015-01-01,09:55:00
2015-01-01 10:00:00,103.24050446001593,105.66560131382064,102.8103971093864,103.13260109619009,7949,2015-01-01,10:00:00
2015-01-01 10:05:00,102.83121100099905,103.58210338535686,102.56172253719294,103.63982759298598,6296,2015-01-01,10:05:00
2015-01-01 10:10:00,103.53471047666335,105.70816581340907,102.64895343563317,102.77142062955004,5014,2015-01-01,10:10:00
2015-01-01 10:15:00,103.78108021507313,104.61984947243806,103.23267432382778,103.82456835943808,3170,2015-01-01,10:15:00
2015-01-01 10:20:00,103.0927292356225,103.704561998084,101.34149129803473,103.55054866111244,3207,2015-01-01,10:20:00
2015-01-01 10:25:00,103.99739162301415,104.27656749752646,103.59382475360907,104.43870784548987,5299,2015-01-01,10:25:00
2015-01-01 10:30:00,103.77921978922596,104.12622946973397,103.7038779454304,104.07438343341866,5798,2015-01-01,10:30:00
2015-01-01 10:35:00,103.45826010669624,103.48034415246036,103.0502037198437,104.13120057690297,2430,2015-01-01,10:35:00
2015-01-01 10:40:00,102.9797755833474,104.48546925428177,102.77917103953779,102.92853120535429,6724,2015-01-01,10:40:00
2015-01-01 10:45:00,103.30977364563783,104.08515307598842,103.24577081254965,103.92167397580796,9437,2015-01-01,10:45:00
2015-01-01 10:50:00,103.35129636687283,104.46815728690065,103.22497000381831,102.98903312630235,2452,2015-01-01,10:50:00
2015-01-01 10:55:00,105.16464542204876,106.0790081710425,105.04712943730873,105.01837400620754,2062,2015-01-01,10:55:00
2015-01-01 11:00:00,107.26215554846145,107.36996435058923,106.35903715855952,108.19164566137486,9343,2015-01-01,11:00:00
2015-01-01 11:05:00,107.74803519856363,108.59692273652132,107.49371636836965,106.89634318743555,5702,2015-01-01,11:05:00
2015-01-01 11:10:00,108.07778032144628,109.21955913990399,107.68142744237737,107.77872399977433,9186,2015-01-01,11:10:00
2015-01-01 11:15:00,108.82045940281358,110.97160983962478,108.49038203967571,109.29260080301148,1023,2015-01-01,11:15:00
2015-01-01 11:20:00,108.41898082909688,109.26850907304063,107.84315087827603,109.03697413277222,1260,2015-01-01,11:20:00
2015-01-01 11:25:00,107.86567868906788,108.76224518552453,107.75519291680803,108.40747689257852,9769,2015-01-01,11:25:00
2015-01-01 11:30:00,107.96587000940879,109.05072792221279,107.09151006301451,107.5790000839056,8767,2015-01-01,11:30:00
2015-01-01 11:35:00,107.2827222804159,107.70348271730283,105.60276500174804,107.74025879875141,3578,2015-01-01,11:35:00
2015-01-01 11:40:00,107.61023974500527,108.02697920488407,105.36322728049876,107.60626452704787,4034,2015-01-01,11:40:00
2015-01-01 11:45:00,107.0723615151232,107.60686799912304,105.57622043873344,106.90806686233523,1776,2015-01-01,11:45:00
2015-01-01 11:50:00,107.90672180060743,109.04375750146824,105.70467043516365,108.89218800262593,8315,2015-01-01,11:50:00
2015-01-01 11:55:00,109.1115650068992,110.24414778914885,107.53715862681463,109.00831229694965,6449,2015-01-01,11:55:00
2015-01-01 12:00:00,108.16834109889389,108.18682442679842,107.78065013863322,108.78370711272775,7347,2015-01-01,12:00:00
2015-01-01 12:05:00,108.08071732563472,108.67489257990817,106.97513682357248,108.19291255411663,4848,2015-01-01,12:05:00
2015-01-01 12:10:00,109.92331727902372,110.40333521646171,109.32083781670919,110.6959600343205,5357,2015-01-01,12:10:00
2015-01-01 12:15:00,108.81736493761858,110.57996872265487,108.28595958110984,108.78714464587681,4064,2015-01-01,12:15:00
2015-01-01 12:20:00,107.70747060616138,107.99590344997073,107.42892777083526,107.39038392648527,2270,2015-01-01,12:20:00
2015-01-01 12:25:00,108.718240588481,110.19338512908892,107.79629023739376,108.96745814620228,4388,2015-01-01,12:25:00
2015-01-01 12:30:00,107.86267490897811,108.52409466938764,107.68427885256042,108.16142258122231,6950,2015-01-01,12:30:00
2015-01-01 12:35:00,108.94550518253459,110.49706261560266,108.40996810884369,108.42168831851077,1556,2015-01-01,12:35:00
2015-01-01 12:40:00,108.91774044265101,111.16963569060404,107.78838622573045,109.47428590343219,2599,2015-01-01,12:40:00
2015-01-01 12:45:00,108.3673047547818,109.19352723206123,107.42870803019,108.02618215049442,2138,2015-01-01,12:45:00
2015-01-01 12:50:00,108.83132610894815,109.14730342028842,107.43005685609181,108.52478845373804,6442,2015-01-01,12:50:00
2015-01-01 12:55:00,106.91553096711804,108.2709399816548,106.63994345512467,106.7870383612648,9623,2015-01-01,12:55:00
2015-01-01 13:00:00,107.39237399766552,107.56840748685977,105.57051455112709,107.74738605976198,3990,2015-01-01,13:00:00
2015-01-01 13:05:00,107.77464394086982,107.88186269520641,107.00102403961147,108.89855649463343,5469,2015-01-01,13:05:00
2015-01-01 13:10:00,107.28953368523914,108.54276423421804,105.5364964908517,107.83814671122508,6352,2015-01-01,13:10:00
2015-01-01 13:15:00,104.2278609877619,104.68819202441252,103.2327325690486,103.72072510073369,2421,2015-01-01,13:15:00
2015-01-01 13:20:00,106.05461531864657,106.24423421672962,104.85525655304174,106.43228801298751,8468,2015-01-01,13:20:00
2015-01-01 13:25:00,105.57760320851892,107.20476567496472,104.98305826027287,105.6657909567353,4920,2015-01-01,13:25:00
2015-01-01 13:30:00,105.28416076704791,106.47701068680752,104.57481351592249,104.7147492153948,1481,2015-01-01,13:30:00
2015-01-01 13:35:00,105.43492229998068,106.10977080182772,104.98153022803164,105.56699305588388,2796,2015-01-01,13:35:00
2015-01-01 13:40:00,105.60566865405745,106.04074928550685,105.32739360224181,105.2889489479642,5628,2015-01-01,13:40:00
2015-01-01 13:45:00,106.71004064996895,106.83443170864714,106.60766133261518,107.47049750270833,4170,2015-01-01,13:45:00
2015-01-01 13:50:00,107.14805541286626,107.77038285473475,106.79376365695373,107.02393545789052,7627,2015-01-01,13:50:00
2015-01-01 13:55:00,107.98411726774674,109.33745622246984,106.08738210514964,108.1931754027159,4491,2015-01-01,13:55:00
2015-01-01 14:00:00,106.86698005680645,108.4150131769979,106.39056527705104,106.50837362062983,4097,2015-01-01,14:00:00
2015-01-01 14:05:00,107.40734518061367,108.17327058106683,107.08213480561528,107.37064013144855,2328,2015-01-01,14:05:00
2015-01-01 14:10:00,108.7927603533035,109.28439608907324,107.75826231249029,109.31341680315118,8005,2015-01-01,14:10:00
2015-01-01 14:15:00,109.45470753109588,110.23881211626642,107.23529100830645,109.44719426643222,2065,2015-01-01,14:15:00
2015-01-01 14:20:00,110.66187043718956,111.79316595280591,110.07560687164724,110.38428555141596,2636,2015-01-01,14:20:00
2015-01-01 14:25:00,111.1272619042653,111.55505720117704,110.69625038799288,110.91010152786323,5790,2015-01-01,14:25:00
2015-01-01 14:30:00,111.45966758272138,111.93200152883631,110.76003843685604,111.44652030346032,3617,2015-01-01,14:30:00
2015-01-01 14:35:00,112.40597783544509,113.76711129034044,112.02173074303778,112.09757384677708,3465,2015-01-01,14:35:00
2015-01-01 14:40:00,113.87224744604431,114.73633932023327,113.83887029399281,114.03620682983768,5274,2015-01-01,14:40:00
2015-01-01 14:45:00,113.0549873238631,113.07763559959112,112.45178745634188,112.68442229096158,5909,2015-01-01,14:45:00
2015-01-01 14:50:00,112.37039714972163,114.6172791021346,112.31753209666647,112.16391265528117,4076,2015-01-01,14:50:00
2015-01-01 14:55:00,113.98474982425397,116.00832132852571,111.93556689925185,113.89249491704858,4201,2015-01-01,14:55:00
2015-01-01 15:00:00,113.870127911025,114.85434684762606,113.72543204070422,113.35524859685898,8410,2015-01-01,15:00:00
2015-01-01 15:05:00,115.75064603570529,116.75664494974279,115.45817482278329,115.54496432835802,9469,2015-01-01,15:05:00
2015-01-01 15:10:00,115.54505752342169,117.82694830160243,113.41518937866621,115.6037374755553,5781,2015-01-01,15:10:00
2015-01-01 15:15:00,114.29804853576508,115.55677114893842,113.526564791697,113.93484205210716,9833,2015-01-01,15:15:00
2015-01-01 15:20:00,114.50144367525837,115.12653519307511,113.3826057994913,114.84023305595716,4009,2015-01-01,15:20:00
2015-01-01 15:25:00,114.27368444977807,115.21011050643807,113.27786142102323,114.2939577576064,4060,2015-01-01,15:25:00
2015-01-01 15:30:00,113.93901324086626,114.54265148022199,113.38980123443775,113.81136781449815,1393,2015-01-01,15:30:00
2015-01-02 09:15:00,113.55375168132066,114.50255404637362,113.0184091458907,113.81940219676962,5764,2015-01-02,09:15:00
2015-01-02 09:20:00,114.22836528261405,114.72523111305219,112.45882496144623,114.2910819957114,7985,2015-01-02,09:20:00
2015-01-02 09:25:00,114.27796324182532,114.61908895705547,113.03210193341963,113.94552056123982,5337,2015-01-02,09:25:00
2015-01-02 09:30:00,115.93645897747511,116.4180388943425,114.39222439839321,116.01994032575772,3790,2015-01-02,09:30:00
2015-01-02 09:35:00,116.2035934646692,116.32645996148369,114.23423723846824,116.33180528474979,1726,2015-01-02,09:35:00
2015-01-02 09:40:00,115.94096163694923,116.50741581282651,113.58922327817903,116.08233961612906,3751,2015-01-02,09:40:00
2015-01-02 09:45:00,115.82796255854547,117.17365506731578,114.55514169261339,116.15416230130306,5177,2015-01-02,09:45:00
2015-01-02 09:50:00,115.68911004456753,116.95915901936712,115.51566331009971,115.55459953326547,1823,2015-01-02,09:50:00
2015-01-02 09:55:00,115.43713661120589,116.05401292566617,114.83372880196859,114.96984519994315,8280,2015-01-02,09:55:00
2015-01-02 10:00:00,116.43308040356791,118.06820099859803,115.97469888690067,115.96150074885074,8545,2015-01-02,10:00:00
2015-01-02 10:05:00,115.23762238048188,116.58997325435078,112.60971756594677,115.3881643771882,2550,2015-01-02,10:05:00
2015-01-02 10:10:00,114.41431457446939,114.60054258388924,113.26066497325029,114.66158972705273,9847,2015-01-02,10:10:00
2015-01-02 10:15:00,114.12773074409179,114.15019274867159,114.08932972247624,114.06001207179396,6761,2015-01-02,10:15:00
2015-01-02 10:20:00,112.48089944538178,114.36307952128641,112.3911568152895,112.42392748416306,5615,2015-01-02,10:20:00
2015-01-02 10:25:00,112.29701144023596,113.13172728957502,111.5847741058332,112.1496552432257,2287,2015-01-02,10:25:00
2015-01-02 10:30:00,112.34563255700684,113.00375221577772,111.03624570913486,111.74213545616107,1926,2015-01-02,10:30:00
