,atm_strike,call_iv,put_iv,call_oi,put_oi,date,time
2015-01-01 09:15:00,100.0,14.568003208533568,18.223280484037303,432645,354962,2015-01-01,09:15:00
2015-01-01 09:20:00,100.0,12.658275787541298,15.681422607175918,294109,462732,2015-01-01,09:20:00
2015-01-01 09:25:00,100.0,14.807983111844226,17.013284243657132,371808,415940,2015-01-01,09:25:00
2015-01-01 09:30:00,100.0,20.10498629808919,16.866986803991836,334195,188158,2015-01-01,09:30:00
2015-01-01 09:35:00,100.0,12.295615467403623,14.509855190729432,417886,261531,2015-01-01,09:35:00
2015-01-01 09:40:00,100.0,14.416204308596498,14.76853462082629,413664,362466,2015-01-01,09:40:00
2015-01-01 09:45:00,100.0,14.322430498427773,16.488520296119862,228252,196497,2015-01-01,09:45:00
2015-01-01 09:50:00,100.0,15.790823366865927,19.17917759046729,319079,203238,2015-01-01,09:50:00
2015-01-01 09:55:00,100.0,18.410587751710583,17.758012875021358,110323,209276,2015-01-01,09:55:00
2015-01-01 10:00:00,100.0,14.631798888330954,17.478236768565278,279382,484868,2015-01-01,10:00:00
2015-01-01 10:05:00,100.0,14.009275607632452,18.863439886815385,160698,238075,2015-01-01,10:05:00
2015-01-01 10:10:00,100.0,14.267397222708738,15.168384920491253,113988,438411,2015-01-01,10:10:00
2015-01-01 10:15:00,100.0,14.154798138439821,17.18588423285844,452429,461363,2015-01-01,10:15:00
2015-01-01 10:20:00,100.0,17.330135278762373,14.086000119637317,449184,129450,2015-01-01,10:20:00
2015-01-01 10:25:00,100.0,18.103492019699818,16.986806051492014,440551,169438,2015-01-01,10:25:00
2015-01-01 10:30:00,100.0,13.839501017729631,18.63939222272919,448618,494694,2015-01-01,10:30:00
2015-01-01 10:35:00,100.0,14.545185988573149,15.380025749317557,317248,149387,2015-01-01,10:35:00
2015-01-01 10:40:00,100.0,16.614413438062126,16.02674557717643,131641,442682,2015-01-01,10:40:00
2015-01-01 10:45:00,100.0,12.329132693310356,11.177040384477596,490916,464482,2015-01-01,10:45:00
2015-01-01 10:50:00,100.0,14.352054698063,16.847719748207233,484543,462499,2015-01-01,10:50:00
2015-01-01 10:55:00,100.0,13.729030304991173,15.90131844538904,370590,393976,2015-01-01,10:55:00
2015-01-01 11:00:00,100.0,13.385175616718483,17.844622574189458,219147,482487,2015-01-01,11:00:00
2015-01-01 11:05:00,100.0,19.624290215594378,16.99107052299451,335557,421180,2015-01-01,11:05:00
2015-01-01 11:10:00,100.0,16.404582884871864,15.144203794474436,268427,101012,2015-01-01,11:10:00
2015-01-01 11:15:00,100.0,13.744396970518377,14.766523072195064,151065,181997,2015-01-01,11:15:00
2015-01-01 11:20:00,100.0,14.894374341577501,15.929776106957153,389167,369657,2015-01-01,11:20:00
2015-01-01 11:25:00,100.0,14.208459620012746,17.267592761792482,167122,162976,2015-01-01,11:25:00
2015-01-01 11:30:00,100.0,9.313897651685359,13.75578664382892,275215,453192,2015-01-01,11:30:00
2015-01-01 11:35:00,100.0,14.236419562948988,15.862497295305559,134183,387583,2015-01-01,11:35:00
2015-01-01 11:40:00,100.0,12.696090024319547,16.87243061434294,335328,106919,2015-01-01,11:40:00
2015-01-01 11:45:00,100.0,14.939109732333737,16.726989840866416,449598,210541,2015-01-01,11:45:00
2015-01-01 11:50:00,100.0,15.40075166801407,15.615705945727875,425364,239324,2015-01-01,11:50:00
2015-01-01 11:55:00,100.0,11.108225262984847,14.846431005196955,341394,444892,2015-01-01,11:55:00
2015-01-01 12:00:00,100.0,16.03900180899169,18.202370757833556,357559,304766,2015-01-01,12:00:00
2015-01-01 12:05:00,100.0,15.225370230902696,18.09582653730429,335899,367260,2015-01-01,12:05:00
2015-01-01 12:10:00,100.0,14.935477284049604,14.351331528350098,144957,251018,2015-01-01,12:10:00
2015-01-01 12:15:00,100.0,13.08619558408113,16.625578750805705,154973,100565,2015-01-01,12:15:00
2015-01-01 12:20:00,100.0,17.495932461165093,14.976479861665814,374108,438136,2015-01-01,12:20:00
2015-01-01 12:25:00,100.0,17.087140942480147,17.334303352410654,129718,213245,2015-01-01,12:25:00
